check_id,year,race_name,faster_driver,slower_driver,pair_present,target_weather_bucket,common_segments,valid_common_segments,chosen_segments,current_construct_n_pairs,current_construct_delta_s,highest_common_segment,highest_common_best_delta_s,any_valid_best_delta_s,phase5_row_present,phase5_delta_s,phase5_n_matched_pairs,phase5_skip_reason
verstappen_perez_quali_2024,2024,Saudi Arabian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.38450000000000273,Q3,0.33500000000000796,0.33500000000000796,True,0.3845000000000027,4,
russell_hamilton_quali_2024,2024,Saudi Arabian Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.49099999999999966,Q3,0.14399999999999125,0.14399999999999125,True,0.4909999999999996,3,
albon_sargeant_quali_2024,2024,Saudi Arabian Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.41899999999999693,0.5459999999999923,False,,0,
verstappen_perez_quali_2024,2024,Australian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.36249999999999716,Q3,0.35899999999999466,0.35899999999999466,True,0.3624999999999971,4,
russell_hamilton_quali_2024,2024,Australian Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",4,0.0449999999999946,Q2,0.0589999999999975,0.23599999999999,True,0.0449999999999946,4,
albon_sargeant_quali_2024,2024,Australian Grand Prix,ALB,SAR,False,dry,[],[],[],0,,,,,False,,0,
verstappen_perez_quali_2024,2024,Japanese Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.0660000000000025,Q3,0.0660000000000025,0.0660000000000025,True,0.0660000000000025,3,
russell_hamilton_quali_2024,2024,Japanese Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,-0.19299999999999073,Q3,-0.24199999999999022,-0.24199999999999022,True,-0.1929999999999907,4,
albon_sargeant_quali_2024,2024,Japanese Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.17600000000000193,0.42499999999999716,False,,0,
verstappen_perez_quali_2024,2024,Chinese Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.40749999999999886,Q3,0.32200000000000273,0.32200000000000273,True,0.4074999999999988,4,
russell_hamilton_quali_2024,2024,Chinese Grand Prix,RUS,HAM,True,dry,['Q1'],['Q1'],['Q1'],1,,Q1,0.8739999999999952,2.1739999999999924,False,,0,
albon_sargeant_quali_2024,2024,Chinese Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],1,,Q1,0.6290000000000049,1.1170000000000044,False,,0,
verstappen_perez_quali_2024,2024,Miami Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.2700000000000031,Q3,0.2189999999999941,0.2189999999999941,True,0.2700000000000031,4,
russell_hamilton_quali_2024,2024,Miami Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.0694999999999979,Q3,0.04000000000000625,-0.36999999999999034,True,0.0694999999999979,4,
albon_sargeant_quali_2024,2024,Miami Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.14399999999999125,0.14399999999999125,False,,0,
verstappen_perez_quali_2024,2024,Emilia Romagna Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",3,0.46699999999999875,Q2,0.5300000000000011,0.960000000000008,True,0.4669999999999987,3,
russell_hamilton_quali_2024,2024,Emilia Romagna Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.13800000000000523,Q3,0.27000000000001023,0.27000000000001023,True,0.1380000000000052,4,
albon_sargeant_quali_2024,2024,Emilia Romagna Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.20699999999999363,0.5309999999999917,False,,0,
verstappen_perez_quali_2024,2024,Monaco Grand Prix,VER,PER,True,dry,['Q1'],['Q1'],['Q1'],5,0.7279999999999944,Q1,0.34900000000000375,1.4930000000000092,True,0.7279999999999944,5,
russell_hamilton_quali_2024,2024,Monaco Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.06749999999998835,Q3,0.07799999999998875,0.07799999999998875,True,0.0674999999999883,4,
